name,plugin
Gpu3_compute_mode,ganglia_pub
Gpu3_cpu_affinity_0,ganglia_pub
Gpu3_cpu_affinity_1,ganglia_pub
Gpu3_cpu_affinity_2,ganglia_pub
Gpu3_cpu_affinity_3,ganglia_pub
Gpu3_current_clock_throttle_reasons,ganglia_pub
Gpu3_dec_utilization,ganglia_pub
Gpu3_device_count,ganglia_pub
Gpu3_dram_active,ganglia_pub
Gpu3_ecc,ganglia_pub
Gpu3_ecc_dbe_aggregate_device,ganglia_pub
Gpu3_ecc_dbe_aggregate_l1,ganglia_pub
Gpu3_ecc_dbe_aggregate_l2,ganglia_pub
Gpu3_ecc_dbe_aggregate_register,ganglia_pub
Gpu3_ecc_dbe_aggregate_total,ganglia_pub
Gpu3_ecc_dbe_volatile_device,ganglia_pub
Gpu3_ecc_dbe_volatile_l1,ganglia_pub
Gpu3_ecc_dbe_volatile_l2,ganglia_pub
Gpu3_ecc_dbe_volatile_register,ganglia_pub
Gpu3_ecc_dbe_volatile_total,ganglia_pub
Gpu3_ecc_pending,ganglia_pub
Gpu3_ecc_sbe_aggregate_device,ganglia_pub
Gpu3_ecc_sbe_aggregate_l1,ganglia_pub
Gpu3_ecc_sbe_aggregate_l2,ganglia_pub
Gpu3_ecc_sbe_aggregate_register,ganglia_pub
Gpu3_ecc_sbe_aggregate_total,ganglia_pub
Gpu3_ecc_sbe_volatile_device,ganglia_pub
Gpu3_ecc_sbe_volatile_l1,ganglia_pub
Gpu3_ecc_sbe_volatile_l2,ganglia_pub
Gpu3_ecc_sbe_volatile_register,ganglia_pub
Gpu3_ecc_sbe_volatile_total,ganglia_pub
Gpu3_enc_utilization,ganglia_pub
Gpu3_enforced_power_limit,ganglia_pub
Gpu3_fb_free,ganglia_pub
Gpu3_fb_total,ganglia_pub
Gpu3_fb_used,ganglia_pub
Gpu3_fp16_active,ganglia_pub
Gpu3_fp32_active,ganglia_pub
Gpu3_fp64_active,ganglia_pub
Gpu3_gpu_temp,ganglia_pub
Gpu3_gpu_util_samples,ganglia_pub
Gpu3_gpu_utilization,ganglia_pub
Gpu3_gr_engine_active,ganglia_pub
Gpu3_inforom_config_checksum,ganglia_pub
Gpu3_inforom_config_valid,ganglia_pub
Gpu3_low_util_violation,ganglia_pub
Gpu3_mem_app_clock,ganglia_pub
Gpu3_mem_copy_utilization,ganglia_pub
Gpu3_mem_util_samples,ganglia_pub
Gpu3_memory_clock,ganglia_pub
Gpu3_memory_max_clock,ganglia_pub
Gpu3_memory_temp,ganglia_pub
Gpu3_nvlink_bandwidth_total,ganglia_pub
Gpu3_nvlink_data_crc_error_count_total,ganglia_pub
Gpu3_nvlink_flit_crc_error_count_total,ganglia_pub
Gpu3_nvlink_recovery_error_count_total,ganglia_pub
Gpu3_nvlink_replay_error_count_total,ganglia_pub
Gpu3_nvlink_rx_bytes,ganglia_pub
Gpu3_nvlink_tx_bytes,ganglia_pub
Gpu3_pcie_replay_counter,ganglia_pub
Gpu3_pcie_rx_bytes,ganglia_pub
Gpu3_pcie_tx_bytes,ganglia_pub
Gpu3_power_management_limit,ganglia_pub
Gpu3_power_management_limit_default,ganglia_pub
Gpu3_power_management_limit_max,ganglia_pub
Gpu3_power_management_limit_min,ganglia_pub
Gpu3_power_usage,ganglia_pub
Gpu3_power_violation,ganglia_pub
Gpu3_pstate,ganglia_pub
Gpu3_reliability_violation,ganglia_pub
Gpu3_retired_pages_dbe,ganglia_pub
Gpu3_retired_pages_pending,ganglia_pub
Gpu3_retired_pages_sbe,ganglia_pub
Gpu3_shutdown_temp,ganglia_pub
Gpu3_slowdown_temp,ganglia_pub
Gpu3_sm_active,ganglia_pub
Gpu3_sm_app_clock,ganglia_pub
Gpu3_sm_clock,ganglia_pub
Gpu3_sm_max_clock,ganglia_pub
Gpu3_sm_occupancy,ganglia_pub
Gpu3_sync_boost_violation,ganglia_pub
Gpu3_tensor_active,ganglia_pub
Gpu3_thermal_violation,ganglia_pub
Gpu3_total_energy_consumption,ganglia_pub
Gpu3_video_clock,ganglia_pub
Gpu3_video_max_clock,ganglia_pub
Gpu3_virtualization_mode,ganglia_pub
Gpu3_xid_errors,ganglia_pub
boottime,ganglia_pub
bytes_in,ganglia_pub
bytes_out,ganglia_pub
core_freq_0,ganglia_pub
core_freq_1,ganglia_pub
core_freq_10,ganglia_pub
core_freq_11,ganglia_pub
core_freq_12,ganglia_pub
core_freq_13,ganglia_pub
core_freq_14,ganglia_pub
core_freq_15,ganglia_pub
core_freq_16,ganglia_pub
core_freq_17,ganglia_pub
core_freq_18,ganglia_pub
core_freq_19,ganglia_pub
core_freq_2,ganglia_pub
core_freq_20,ganglia_pub
core_freq_21,ganglia_pub
core_freq_22,ganglia_pub
core_freq_23,ganglia_pub
core_freq_24,ganglia_pub
core_freq_25,ganglia_pub
core_freq_26,ganglia_pub
core_freq_27,ganglia_pub
core_freq_28,ganglia_pub
core_freq_29,ganglia_pub
core_freq_3,ganglia_pub
core_freq_30,ganglia_pub
core_freq_31,ganglia_pub
core_freq_32,ganglia_pub
core_freq_33,ganglia_pub
core_freq_34,ganglia_pub
core_freq_35,ganglia_pub
core_freq_36,ganglia_pub
